,No. of bombers,No. of fighters,No. of UAVs,Deterrence Mission Delays,Escort Mission Delays,Recon Mission Delays
0,4,6,8,12.991538681598868,16.232403064976605,4.260787566431389
1,4,6,8,13.217236347017996,15.853705693788676,4.038851948561192
2,4,6,8,13.135430507964196,16.48093287921847,4.268473182361386
3,4,6,8,13.699646336406747,15.638769298507897,4.388022604739444
4,4,6,8,13.458151782419739,14.684074160453536,4.289711268273841
5,4,6,8,13.435865281848553,16.86933370312303,4.323202781957962
6,4,6,8,12.992880890003358,14.919391684728133,4.124122658439202
7,4,6,8,13.336967912376386,14.298668547476916,4.192008151556042
8,4,6,10,14.819806513649773,17.747848047522435,3.6562314162229974
9,4,6,10,14.189055619657537,15.479112740467533,3.4969811600225102
10,4,6,10,14.140684998659555,15.59855878160554,3.6504732201277768
11,4,6,10,13.788146522765034,16.748884878521725,3.8710410489666596
12,4,6,10,14.257396788799625,16.587793182884983,3.4192954742165096
13,4,6,10,13.770946639939972,13.777646903051838,3.731610187610569
14,4,6,10,14.09200250823768,16.17365050216508,3.5717266772245364
15,4,6,10,13.876375382719264,14.207525695660966,3.867486519164676
16,4,6,12,14.600913107992797,17.777929194543226,3.081026443423619
17,4,6,12,14.315245913733055,18.107161527872005,3.396175591215248
18,4,6,12,14.265499476906795,15.258313428488766,3.1689729027951024
19,4,6,12,14.188244998995618,15.8347783607406,3.196783954879685
20,4,6,12,14.10526677865999,14.993546354546272,3.2701503401912424
21,4,6,12,13.697250889317235,15.065701710503312,3.177225623185294
22,4,6,12,14.604450219132122,15.605589041757655,3.3694689723790026
23,4,6,12,14.642466222442865,16.492333519969304,3.342345573327337
24,6,6,8,15.728092327288403,12.88683856372018,6.030296567587801
25,6,6,8,14.667594053542825,11.608712433196974,5.592143255588902
26,6,6,8,12.152369747302034,9.116120706438458,4.736619239801956
27,6,6,8,14.314086220168667,10.97265905445766,5.584372774043618
28,6,6,8,14.067323229754802,10.648860432936502,5.518901636245805
29,6,6,8,12.246614592522041,8.724521789949772,4.582421420442282
